1	29,9	109,1761	10,434	5,734	69,1568	43,497	11,1069	152,1703	12,173	21,581
2	66,1741	87,1399	157,755	74,1112	74,1591	52,1706	12,759	17,1611	10,1849	89,832
3	117,314	105,1101	87,396	167,1265	92,1599	155,135	35,1443	16,1869	172,415	152,1712
4	114,686	26,635	193,1841	71,792	138,862	92,1503	38,1370	114,663	170,1328	145,7
5	21,1400	193,1297	83,1047	101,110	105,1375	32,956	47,1671	60,1542	88,841	66,1430
6	121,1414	29,365	57,1804	33,837	34,847	77,933	7,1732	107,1212	187,633	46,1253
7	26,563	101,1406	185,1826	155,1041	56,684	112,799	145,758	96,1118	112,432	192,124
8	51,1522	99,70	99,1311	167,659	68,7	129,676	85,186	112,28	104,596	132,931
9	197,791	92,348	18,1053	50,116	120,1274	78,1450	135,176	62,5	148,1227	65,1324
10	155,1535	178,1046	16,1506	33,816	170,967	105,1626	154,1441	147,1386	79,1726	153,1671
11	1,635	59,18	19,1566	132,513	180,1677	169,609	65,1417	147,1113	76,1254	96,496
12	200,118	59,864	132,192	101,1720	131,1017	102,1086	106,688	147,1711	161,574	121,1782
13	154,1544	98,1797	118,1387	7,429	53,1778	192,205	145,1860	138,163	88,157	136,1185
14	35,1457	136,1762	4,1745	8,1125	9,1208	43,963	61,620	12,831	13,215	63,86
15	73,1250	185,699	8,1643	141,1725	53,643	86,357	194,1530	74,1570	67,405	33,876
16	24,821	148,856	165,52	101,380	136,1299	119,429	158,861	117,1856	94,1556	132,357
17	124,1558	86,185	149,1589	91,1207	83,543	16,1712	196,218	24,1514	138,174	195,89
18	119,492	37,419	29,1296	170,1679	14,1696	50,891	159,435	125,347	21,593	89,288
19	57,1512	196,1188	167,1276	37,434	46,830	197,909	97,702	123,1523	87,1094	78,817
20	200,503	148,564	5,367	162,1196	145,418	124,433	108,476	42,1863	105,677	145,1572
21	74,1172	13,934	158,530	134,347	159,1412	109,705	182,429	144,734	6,1283	145,473
22	112,1439	86,132	1,1175	121,63	112,1805	63,876	109,1023	28,1290	63,375	38,603
23	180,192	108,1355	116,846	108,1397	64,1377	10,741	137,1378	87,298	22,1829	45,297
24	11,657	165,132	197,452	128,195	189,903	31,1514	98,473	102,718	37,190	93,1820
25	19,1663	91,1006	73,1643	102,627	196,129	91,1874	63,196	36,684	139,1703	163,969
26	106,658	74,1401	152,1402	128,1389	34,1261	108,1259	124,974	167,1105	36,56	167,625
27	154,1030	49,899	64,1430	42,1044	192,1739	79,1574	51,662	179,116	94,276	98,562
28	188,396	36,879	24,1779	173,1391	99,1632	83,1006	51,771	126,542	96,637	111,329
29	27,1650	152,863	153,1109	196,891	7,615	144,727	147,285	122,1449	118,123	70,1675
30	25,1808	185,261	173,1320	63,1096	93,1324	21,491	165,478	160,1335	18,1470	178,1207
31	94,189	77,170	149,253	1,388	186,1435	2,1624	108,1539	147,1060	25,1699	176,727
32	12,1018	172,586	133,685	165,545	97,753	82,395	93,1579	119,806	82,439	180,693
33	92,401	144,24	69,1364	33,132	186,270	1,1682	180,559	55,1524	150,1322	66,337
34	91,894	160,547	56,1580	39,1258	150,32	81,1766	153,1210	127,1441	83,1862	97,962
35	55,1287	180,1177	101,876	184,286	42,1244	107,168	139,1327	171,579	94,1263	106,1648
36	67,817	173,1489	134,1835	46,698	29,1436	131,1303	159,1692	113,971	167,1702	176,983
37	14,1740	149,1234	183,1095	118,154	54,901	9,997	162,263	66,1574	9,813	103,1710
38	33,1551	44,1306	156,235	143,281	115,1662	140,1639	34,1822	57,1425	150,417	37,1448
39	75,1447	169,168	159,60	13,462	130,1292	127,1484	148,1652	165,1748	54,1730	181,1317
40	8,1808	163,233	15,273	106,637	15,1604	20,926	142,1486	28,143	138,1493	3,1364
41	195,1025	137,1693	133,661	43,1471	117,733	82,1775	133,753	56,423	112,1398	187,826
42	17,120	91,419	150,1115	199,541	71,1720	31,1426	36,1102	149,735	16,171	76,1280
43	41,1524	29,926	75,868	160,1675	32,712	147,739	47,1238	106,84	9,723	176,1606
44	39,776	93,1403	137,1203	20,475	53,1459	20,1150	187,1237	147,1571	47,1777	186,977
45	181,835	57,81	133,1636	175,1478	167,1312	126,1011	180,911	119,745	130,223	169,1685
46	166,1658	119,159	88,1352	87,1282	155,1585	163,1708	190,1490	58,1293	53,1709	39,1413
47	142,450	116,1835	131,815	197,1869	116,330	133,1448	129,1469	77,534	68,1012	139,1842
48	182,163	23,584	3,1641	118,8	152,1656	119,249	39,941	84,186	138,617	177,1702
49	134,1738	175,904	193,1724	91,577	119,1345	108,1059	161,183	111,1444	183,18	109,1185
50	109,1523	57,1210	135,1665	58,476	140,846	148,54	117,920	144,1873	122,4	38,496
51	16,246	151,637	28,1825	163,1465	7,709	15,970	138,1460	63,796	196,994	124,1264
52	164,1561	167,975	158,1682	62,1763	158,186	157,477	67,1358	90,1017	186,879	114,99
53	32,964	67,424	73,1611	26,274	42,1402	196,1206	23,1782	28,615	28,69	131,951
54	170,384	80,1430	136,732	39,1595	126,864	46,935	119,680	123,1625	11,550	178,452
55	56,57	168,1520	85,814	83,1644	96,505	186,1058	132,522	97,1431	182,570	158,363
56	56,141	104,1115	183,1732	199,687	200,1452	95,925	15,1177	190,763	110,754	70,1383
57	72,1570	179,556	179,1447	143,938	90,920	36,924	181,1258	187,1146	153,214	24,1283
58	153,1437	21,1199	128,696	35,1441	113,367	49,69	154,596	139,101	58,3	47,1265
59	69,1114	68,659	80,503	174,188	144,202	81,358	173,1669	198,1236	180,1149	196,1607
60	77,851	184,1790	137,1294	86,195	27,784	65,424	109,889	164,1683	83,968	119,1055
61	35,753	63,662	151,471	150,1227	182,1771	18,437	121,1127	74,214	195,60	176,1875
62	177,1704	25,216	96,473	190,960	183,1050	12,91	116,1150	181,1158	163,1608	113,1686
63	67,765	58,128	144,355	140,1187	20,1368	150,862	173,590	127,1653	172,1821	135,1363
64	58,1141	100,869	181,304	52,1275	60,1868	127,1805	143,1475	164,1663	174,849	92,1739
65	182,1757	32,59	26,1346	138,835	162,1580	165,1094	79,437	150,1662	38,4	42,1672
66	103,395	91,84	51,2	160,1185	69,977	194,727	126,1437	182,1440	22,665	65,520
67	125,156	179,1213	21,1864	101,949	91,368	44,564	199,856	195,1396	179,417	176,1316
68	106,1528	87,1255	198,1725	66,1769	200,1325	75,640	33,922	90,1043	158,1321	127,1398
69	126,1693	60,248	127,945	98,10	195,470	169,640	198,320	119,251	87,256	172,1105
70	75,585	162,29	115,1529	133,45	197,1185	6,1059	65,1309	14,918	102,538	51,631
71	178,136	166,185	51,477	175,1449	190,236	68,1527	91,1468	53,1353	176,1538	2,601
72	37,1102	189,1581	49,1093	39,922	44,1498	71,633	87,301	122,1513	21,780	122,1716
73	74,1287	8,1385	24,863	145,281	150,637	126,360	187,1424	99,443	25,527	90,1618
74	83,136	93,1071	113,1799	182,80	14,307	176,1295	135,1035	178,1192	151,1226	20,444
75	136,408	160,1493	98,1506	135,918	111,129	178,32	27,1206	57,1814	48,911	74,204
76	28,67	197,1041	39,527	48,1019	123,184	159,631	154,1616	153,1782	198,1059	10,760
77	89,1196	73,1016	48,1486	124,314	166,843	56,1394	114,1314	77,1864	176,738	130,371
78	168,92	63,1199	18,44	116,1583	5,98	106,572	93,1510	161,455	126,1652	169,221
79	30,1224	51,340	199,200	134,970	114,1838	184,392	157,1039	145,1327	119,1283	93,1009
80	185,1041	177,252	53,359	83,1617	33,327	154,262	32,403	45,1750	62,473	130,1129
81	15,876	21,1105	86,1566	135,1605	23,387	54,1449	62,1812	51,1748	34,855	25,1826
82	186,1387	70,789	5,983	99,535	140,898	29,1052	169,900	87,1299	38,1297	18,668
83	65,558	28,1295	177,668	118,366	71,1024	171,178	200,1776	191,156	80,915	191,52
84	194,205	40,1464	46,133	197,509	65,369	144,545	11,490	140,808	194,506	57,1672
85	129,1217	105,1614	160,1644	176,152	126,1456	150,1600	113,969	133,980	134,1300	3,54
86	8,1283	162,710	168,263	82,961	19,1746	195,394	187,1501	168,1289	74,576	52,88
87	10,431	155,1311	5,1471	170,238	196,253	149,208	95,8	68,94	169,1722	73,1236
88	176,401	64,198	4,1743	183,1153	64,1759	61,1729	48,1618	114,911	198,830	173,1587
89	90,1183	70,1357	187,1598	193,300	134,1358	129,1558	171,605	73,936	173,816	189,853
90	160,1046	26,202	76,1472	192,74	156,1003	189,983	60,22	6,1745	13,1302	62,1847
91	143,792	59,1226	112,455	67,376	189,253	162,1089	101,1656	17,555	172,1505	101,794
92	75,739	141,1733	80,1797	79,549	15,1120	168,467	139,714	38,1742	148,1570	154,1829
93	113,1809	18,41	120,1545	27,8	177,1157	111,240	180,69	175,763	2,1260	36,471
