1	8,424	195,1388	174,1710	90,828	151,761	30,1770	2,1366	71,1300	188,1042	54,873	74,397
2	161,1419	178,1863	149,7	181,1606	129,1111	171,499	145,1502	77,1746	29,307	196,1818	35,1260
3	116,206	91,1194	95,978	44,977	10,556	193,120	51,1427	107,862	149,920	171,616	13,201
4	19,1669	107,502	6,1702	14,1761	1,1734	151,822	61,1351	68,1737	184,137	83,33	186,1154
5	49,1652	145,79	131,649	112,128	116,674	27,81	121,1802	62,93	143,647	156,533	43,316
6	159,1332	18,51	140,776	7,1674	94,1120	12,1004	81,1688	105,193	129,1159	149,1191	22,1219
7	137,44	2,649	11,886	98,1791	27,1341	2,898	72,843	32,1059	165,1310	145,70	116,1439
8	91,911	9,1099	178,1161	120,10	70,1190	100,39	185,768	185,418	116,136	96,1283	147,1599
9	51,1670	35,1402	160,1037	199,1662	184,1124	104,940	19,308	24,1564	136,430	167,883	107,1861
10	74,1836	13,1324	106,545	52,1148	9,945	126,152	78,1182	86,1469	27,1346	115,1748	161,54
11	171,649	90,903	28,226	198,76	138,995	71,1547	70,745	17,931	161,847	142,1663	7,1486
12	92,358	191,303	54,206	185,1038	122,338	45,851	1,1347	184,98	52,1489	155,1754	141,1051
13	22,117	86,162	91,1439	130,1301	194,207	11,1008	191,185	98,1373	85,1708	55,385	15,1327
14	64,1804	131,283	121,1582	30,370	190,282	1,421	71,1567	153,1636	107,1516	42,273	149,315
15	129,1163	93,102	106,1297	183,808	12,1559	117,914	70,82	42,254	7,764	72,827	53,72
16	20,1031	39,1037	189,882	46,1791	161,592	151,1864	100,491	134,1858	32,1659	172,1403	192,387
17	105,1356	199,1864	44,962	8,1259	114,675	44,1613	118,693	130,83	157,626	185,206	31,1660
18	106,418	197,1322	138,935	63,1796	187,321	170,542	110,1031	144,1336	21,1788	122,254	38,395
19	145,1768	60,944	68,683	62,840	123,190	43,1097	4,994	107,1730	121,440	78,226	80,1864
20	39,1339	135,1325	55,1866	120,1223	1,491	63,320	80,265	197,1239	6,1534	194,200	78,1016
21	30,1370	166,667	130,988	124,424	150,803	80,1655	78,416	180,908	76,571	131,644	164,1668
22	9,973	28,5	197,1572	185,587	25,1809	47,215	50,578	170,490	116,1780	90,1093	119,402
23	181,688	54,573	166,875	147,733	166,663	78,661	10,1506	161,864	45,89	161,1466	161,1847
24	175,1821	90,1712	149,1664	131,1200	107,1543	24,749	186,1165	119,1799	175,181	98,990	57,730
25	175,1082	52,1033	50,481	88,1093	61,330	4,1394	171,1516	1,650	51,1677	40,728	67,641
26	111,545	87,762	34,441	153,1575	198,576	10,1760	39,65	194,253	124,260	10,1541	83,1714
27	133,1327	66,282	140,381	156,568	103,1676	84,332	148,1845	85,1255	178,1082	52,860	30,1302
28	108,393	65,1094	94,325	24,1704	84,391	15,561	121,1593	179,1423	139,233	194,26	67,1057
29	103,652	172,193	40,1616	74,525	69,372	34,412	60,1823	88,807	142,1196	116,515	129,454
30	32,58	156,475	24,232	167,415	69,1306	36,1564	1,530	36,1351	184,52	126,1147	195,1104
31	36,125	83,1826	48,871	92,409	135,363	17,1351	58,866	180,1217	27,1330	181,448	160,540
32	86,1050	7,1510	52,477	194,1228	129,1275	138,1601	90,439	32,1857	106,688	119,212	8,1283
33	150,223	160,457	190,1773	50,142	49,751	32,505	128,56	178,479	157,237	154,877	6,955
34	59,1842	61,307	98,1259	111,1100	174,1478	164,145	105,1027	39,953	198,124	175,772	48,44
35	139,1252	112,523	25,374	188,1663	104,822	68,1797	61,1644	129,222	173,685	158,893	29,1408
36	95,1425	98,119	18,507	186,1607	75,1670	18,758	29,1468	46,1139	193,482	84,245	180,701
37	57,1026	134,1421	198,575	176,1336	169,593	145,939	73,882	140,1867	52,1254	18,828	175,1290
38	52,653	69,157	38,1724	107,1274	29,664	199,675	112,149	113,111	196,1636	26,1215	115,171
39	25,674	37,46	72,1636	4,1830	30,1175	100,130	67,110	109,691	126,1700	45,203	74,1220
40	55,920	78,530	41,1777	181,1649	96,1308	183,1113	17,1281	26,440	162,543	38,1420	33,1162
41	164,1220	139,417	13,865	9,751	154,207	58,660	199,1111	22,1497	28,1046	4,1143	43,1394
42	96,587	50,929	70,1033	128,689	11,528	29,1146	38,1588	121,1459	40,1399	63,1830	83,1467
43	128,701	68,1324	105,127	76,1073	21,1717	167,580	52,1416	198,155	87,1273	134,1530	123,432
44	10,1693	27,961	187,1792	95,1702	44,897	106,364	3,1738	87,1159	123,318	42,243	15,293
45	188,308	147,812	78,1098	54,1542	180,199	4,1582	33,1618	64,1634	121,362	16,72	193,887
46	47,1691	181,1182	199,1363	188,240	101,1828	156,991	42,1570	6,1335	34,1437	34,550	115,268
47	17,1770	36,172	100,313	20,426	46,1776	103,801	12,1496	100,1589	21,437	79,1290	35,815
48	43,1726	19,364	8,309	175,663	38,547	127,1769	67,1341	45,1807	120,805	157,1423	177,347
49	96,1318	88,340	88,1596	143,989	67,261	161,863	107,944	60,1559	185,454	197,95	157,1846
50	131,1417	143,1344	110,367	60,1497	167,1802	46,1875	47,1185	173,40	158,1655	28,598	57,1146
51	179,906	122,885	69,420	53,1462	44,507	154,1174	5,260	77,146	128,1581	137,408	102,1184
52	105,1676	56,1064	170,158	135,955	130,1819	33,894	134,1407	66,1726	21,129	137,658	166,1350
53	135,1098	77,1447	165,456	62,465	53,990	68,1741	135,519	189,1146	121,1674	57,429	147,162
54	67,1049	116,306	26,575	11,141	175,503	17,639	5,1703	162,185	157,1860	191,1108	138,77
55	67,1656	36,838	195,1537	115,1049	12,500	182,1365	66,1455	108,1171	158,109	57,565	87,1696
56	132,827	145,1622	107,260	137,1739	51,135	118,756	94,290	74,1479	25,1081	15,751	150,1127
57	146,1185	124,232	16,944	161,1712	153,1225	193,430	95,109	63,1141	41,663	162,526	15,884
58	36,81	21,1230	49,573	73,11	152,581	149,1589	31,1214	169,1750	134,1090	85,124	26,435
59	118,557	15,184	186,1445	169,1450	94,525	163,1544	132,700	27,863	188,1095	53,63	74,561
60	33,195	90,927	168,1290	174,703	11,559	124,85	148,1183	33,1007	199,1506	33,1387	76,848
61	102,874	177,1730	38,891	153,1864	86,553	79,622	49,1545	71,1174	183,1237	95,708	150,1434
62	117,1354	100,136	142,397	100,250	100,620	17,1242	175,1646	45,1741	182,159	184,1455	109,1616
63	103,1116	11,158	169,300	185,1156	146,642	80,711	147,1110	95,749	131,228	17,622	187,709
64	99,932	91,1336	10,1702	16,1189	28,809	61,491	118,952	59,667	18,269	74,123	2,548
65	130,1864	113,1727	153,1076	117,1474	182,1007	28,1644	87,85	181,903	145,505	171,400	145,1286
66	87,38	64,678	114,1860	73,526	151,1750	185,1118	94,1629	182,891	39,1778	191,1268	38,416
67	72,984	99,1673	51,1527	181,1753	84,357	143,566	74,1086	165,1668	54,7	138,1325	200,1289
68	1,857	171,1076	37,160	109,1287	144,39	73,1851	156,819	62,1235	53,1420	20,810	106,447
69	76,1837	200,1348	161,798	182,769	99,1132	162,204	191,159	51,296	137,394	78,1246	43,12
70	73,867	69,683	66,1465	183,1011	140,570	127,1713	172,134	4,815	165,633	145,443	78,748
