1	180,4
2	91,1
3	101,7
4	106,3
5	71,4
6	196,1
7	123,2
8	142,4
9	70,5
10	80,2
11	116,3
12	45,3
13	29,7
14	40,6
15	10,4
16	156,5
17	100,2
18	182,6
19	168,4
20	183,4
21	155,1
22	36,2
23	152,5
24	111,1
25	85,1
26	1,1
27	168,4
28	150,6
29	43,5
30	18,4
31	69,4
32	125,1
33	53,1
34	197,2
35	110,2
36	151,4
37	37,6
38	20,5
39	64,5
40	138,7
41	142,4
42	130,1
43	79,2
44	179,6
45	196,6
46	7,3
47	147,3
48	74,5
49	17,1
50	177,5
51	93,6
52	186,5
53	13,4
54	54,5
55	130,3
56	197,4
57	92,6
58	115,2
59	17,3
60	5,7
61	142,5
62	41,3
63	59,2
64	57,1
65	42,1
66	143,6
67	67,6
68	118,1
69	111,5
70	90,7
71	33,7
72	157,7
73	176,4
74	21,1
75	83,1
76	173,3
77	66,4
78	102,5
79	165,2
80	76,6
81	60,3
82	159,1
83	22,7
84	89,1
85	72,4
86	185,2
87	150,6
88	72,5
89	122,4
90	101,1
91	55,5
92	49,7
93	177,7
94	147,6
95	131,2
96	86,6
97	124,4
98	28,5
99	165,3
100	76,2
101	178,4
102	4,2
103	115,4
104	134,3
105	155,6
106	198,4
107	191,2
108	152,6
109	109,5
110	61,5
111	162,6
112	146,6
113	191,1
114	5,3
115	42,3
116	91,3
117	185,4
118	66,3
119	108,4
120	47,4
121	112,1
122	143,4
123	25,1
124	107,6
125	68,1
126	151,3
127	65,1
128	161,3
129	143,7
130	147,4
131	81,4
132	111,1
133	175,5
134	3,3
135	42,4
136	90,2
137	130,2
138	50,6
139	126,3
140	155,6
141	79,4
142	45,7
143	181,6
144	124,6
145	28,7
146	130,5
147	166,7
148	155,5
149	89,4
150	83,7
151	150,7
152	104,3
153	164,4
154	169,3
155	185,7
156	194,7
157	113,3
158	172,5
159	54,1
160	200,7
161	73,5
162	120,7
163	22,6
164	41,4
165	174,5
166	137,3
167	199,1
168	105,4
169	9,7
170	122,7
171	133,7
172	144,6
173	31,4
174	44,1
175	87,2
176	134,2
177	178,6
178	100,1
179	155,3
180	16,6
181	59,3
182	41,4
183	156,7
184	152,3
185	84,3
186	131,7
187	10,5
188	13,5
189	163,2
190	32,2
191	175,2
192	170,4
193	108,2
194	125,2
195	187,5
196	1,1
197	104,6
198	47,1
199	118,5
200	93,7
