1	54,2	10,6
2	7,2	41,1
3	178,1	122,2
4	110,7	147,4
5	106,6	133,3
6	129,7	182,3
7	117,3	100,1
8	48,2	129,5
9	81,6	141,7
10	153,4	55,2
11	69,4	67,7
12	192,6	4,6
13	10,1	189,2
14	179,2	144,5
15	178,7	73,3
16	72,4	171,3
17	133,4	97,3
18	1,4	173,5
19	71,4	82,7
20	169,1	99,2
21	182,4	90,6
22	168,4	5,6
23	142,5	110,4
24	24,3	134,6
25	30,7	77,6
26	77,3	75,4
27	60,4	44,1
28	183,5	109,5
29	135,3	110,5
30	60,7	117,2
31	41,7	101,5
32	158,6	24,6
33	6,6	106,3
34	157,7	31,4
35	141,6	122,6
36	169,4	178,3
37	59,6	46,7
38	59,4	99,5
39	48,5	67,2
40	170,3	11,6
41	55,6	13,1
42	107,7	173,3
43	190,4	198,4
44	188,6	188,1
45	93,2	179,6
46	46,1	99,6
47	30,1	32,6
48	185,2	138,6
49	187,7	75,3
50	190,4	63,1
51	36,5	6,4
52	21,6	155,1
53	140,7	190,6
54	166,7	26,3
55	193,4	41,1
56	192,3	55,1
57	147,2	46,6
58	88,3	176,2
59	35,5	17,7
60	74,7	65,6
61	90,2	185,1
62	140,4	154,2
63	24,4	66,3
64	48,2	143,4
65	153,7	133,7
66	39,5	159,3
67	25,4	68,2
68	32,2	24,2
69	109,4	89,7
70	57,4	20,3
71	46,2	139,1
72	67,3	156,2
73	196,2	146,2
74	199,7	166,6
75	110,5	186,6
76	110,4	165,5
77	191,5	37,4
78	69,3	27,3
79	58,7	114,3
80	137,6	90,7
81	103,6	23,2
82	159,1	95,3
83	152,2	41,2
84	72,6	147,6
85	186,6	43,5
86	77,5	189,6
87	172,1	137,4
88	18,1	179,2
89	142,4	189,7
90	185,7	113,6
91	141,4	92,2
92	12,1	175,3
93	195,1	111,5
94	176,2	56,4
95	146,3	7,6
96	110,5	170,4
97	171,3	170,1
98	114,4	160,2
99	175,3	104,2
100	128,3	90,1
101	72,6	78,1
102	180,6	85,2
103	49,1	176,7
104	92,5	150,1
105	100,5	187,7
106	90,7	148,1
107	135,6	23,6
108	46,6	79,7
109	176,6	168,5
110	49,5	161,2
111	53,6	92,7
112	188,1	151,2
113	40,3	142,3
114	167,1	77,6
115	97,4	170,1
116	135,7	182,7
117	23,1	185,4
118	106,4	98,4
119	5,4	193,2
120	115,1	105,4
121	89,3	198,7
122	95,4	95,6
123	169,1	165,6
124	101,6	104,6
125	132,1	172,4
126	189,4	25,3
127	121,3	106,7
128	38,5	129,4
129	1,3	163,2
130	103,1	65,1
131	26,7	177,1
132	92,3	32,5
133	129,7	170,4
134	26,2	134,5
135	109,7	141,3
136	68,7	182,5
137	148,2	59,5
138	130,3	117,7
139	197,5	117,1
140	18,1	155,7
141	197,3	170,6
142	170,6	160,1
143	169,4	62,7
144	167,6	75,3
145	18,5	148,2
146	66,6	86,4
147	99,6	165,2
148	4,3	88,5
149	94,7	36,7
150	191,4	191,2
151	30,3	82,5
152	154,6	160,3
153	134,6	107,7
154	59,7	190,6
155	171,2	177,3
156	78,6	9,7
157	89,2	119,7
158	132,1	120,6
159	163,6	133,5
160	124,2	60,5
161	179,6	156,2
162	123,1	72,4
163	30,7	163,3
164	13,2	92,5
165	10,1	109,2
166	88,4	75,1
167	51,7	9,3
168	103,4	53,6
169	200,4	160,3
170	164,7	159,6
171	104,7	165,4
172	74,5	134,5
173	178,5	196,2
174	58,4	113,6
175	57,5	104,2
176	101,1	186,5
177	35,7	165,7
178	82,7	171,3
179	59,4	198,7
180	70,2	180,1
181	51,1	115,4
182	133,7	175,6
183	119,3	127,6
184	106,7	68,5
185	52,3	25,6
186	48,7	46,7
187	128,5	192,4
188	24,3	157,2
189	146,3	177,2
190	178,1	77,6
191	65,7	176,7
192	178,3	90,6
193	3,5	105,1
194	19,2	5,7
195	197,3	173,3
196	145,4	21,5
197	124,6	65,4
198	122,2	170,7
199	17,3	167,5
200	75,6	72,6
