1	17,394	126,1266	145,1515	184,797	145,1149	16,1409	3,1411	163,1625	30,121
2	146,1059	107,111	165,90	136,1058	87,177	155,1707	181,567	123,522	143,1532
3	44,236	88,1172	143,1874	84,1046	124,371	158,1126	197,1374	13,1322	61,694
4	37,168	183,1509	9,878	164,1437	122,388	112,1057	38,282	67,769	166,1544
5	36,11	169,1461	95,1054	6,476	13,1584	30,1082	104,177	76,748	191,853
6	193,1533	155,1483	167,494	47,752	113,479	30,1478	143,1811	172,621	34,537
7	112,1031	37,258	13,453	189,970	32,589	55,81	65,1278	145,1779	20,1779
8	41,1845	198,1130	189,433	106,1811	198,1480	110,1456	200,1787	164,948	168,1159
9	60,180	124,312	85,1686	175,1485	68,1051	18,1164	105,262	192,1482	45,1786
10	15,432	49,620	102,1846	8,1876	12,1204	28,233	31,125	4,1448	153,246
11	179,1540	33,635	144,1206	171,1870	28,1404	75,1823	95,1144	141,867	15,616
12	159,242	91,1734	81,1071	171,626	167,937	43,742	188,260	185,437	73,1226
13	152,588	158,1277	144,1365	158,1051	21,788	198,1244	160,230	107,1437	137,61
14	18,1536	153,285	6,1760	162,1344	127,535	71,1859	21,847	32,1526	175,647
15	12,1089	183,959	123,1773	56,587	195,1266	75,1471	165,1092	21,41	124,1763
16	187,1808	11,576	32,14	31,779	198,251	181,911	195,1794	134,1656	40,1116
17	24,1582	143,1384	47,1008	53,1862	179,1453	51,902	25,863	148,1677	9,707
18	26,290	115,1614	68,610	44,190	88,1415	193,1835	107,1764	55,179	107,1702
19	108,1472	13,1769	146,1413	90,2	185,223	83,271	177,298	44,417	112,1184
20	58,929	98,132	124,1325	22,1658	48,129	39,1580	182,825	145,1531	51,1643
21	52,790	155,1582	126,978	167,1546	198,947	64,1489	162,1469	104,1519	75,1701
22	152,1461	12,1725	97,1451	151,271	29,752	177,1435	41,1289	172,1842	57,1323
23	9,1261	52,1456	23,1248	64,1709	28,301	86,221	72,1006	188,1498	180,1493
24	33,462	129,519	51,238	50,112	43,827	108,960	126,1150	109,276	136,984
25	22,1655	40,1477	24,616	113,538	160,1564	165,266	178,119	50,1300	14,1159
26	200,1740	2,454	61,1728	166,651	101,1465	130,167	57,1257	156,1351	174,500
27	127,743	57,838	8,1465	141,598	11,96	120,771	20,438	52,105	129,154
28	126,372	168,1120	78,1356	176,1792	54,433	83,1252	170,1469	117,718	131,704
29	191,818	68,1790	84,253	140,353	40,139	171,1751	189,1826	101,1117	173,1704
30	195,740	23,1786	11,1314	182,522	103,168	20,694	51,582	110,1010	72,1444
31	144,1410	58,1555	25,91	55,813	69,439	33,1404	25,875	182,310	119,1627
32	167,1061	58,863	66,658	58,1869	119,1565	145,1192	60,185	177,134	197,532
33	50,748	171,64	108,293	200,1545	97,1410	25,570	132,1541	78,675	135,1171
34	1,605	134,1311	191,1132	7,1655	72,778	195,1258	14,104	62,471	110,363
35	53,1408	162,1795	171,543	44,1730	35,183	150,122	91,1165	5,1795	101,1761
36	44,369	195,1425	134,59	12,812	106,1329	83,299	17,1794	44,1861	192,1520
37	162,520	151,1017	153,820	135,1729	11,1690	82,1816	143,1728	131,481	115,621
38	17,492	79,1789	40,1115	97,417	189,78	131,568	35,1322	186,1638	97,1365
39	77,1867	161,495	180,1861	95,144	139,1467	153,465	80,495	177,141	157,1099
40	42,1380	163,1705	122,1441	132,1683	82,50	25,1634	55,545	143,866	35,823
41	183,1604	115,333	26,1010	60,1017	184,955	80,977	191,350	178,1734	102,1097
42	83,700	133,970	103,408	54,297	48,1288	109,1196	78,501	37,1141	166,726
43	51,1055	68,142	63,1029	111,1788	83,156	199,1115	106,1109	75,1757	45,1867
44	21,1165	109,875	22,1839	137,1151	181,522	26,1443	60,413	156,874	39,187
45	142,805	25,898	182,1768	162,1628	46,413	146,1319	93,725	119,986	81,1061
