1	141,42	159,39	127,31
2	28,24	14,5	62,15
3	187,38	155,28	95,31
4	40,34	195,13	157,26
5	49,21	124,42	130,31
6	24,14	101,27	43,42
7	91,36	145,23	157,36
8	24,24	43,23	105,44
9	137,21	30,21	182,25
10	99,38	7,15	114,16
11	158,10	34,35	119,8
12	41,5	182,5	48,9
13	131,11	135,23	91,37
14	149,3	22,33	139,14
15	36,38	17,22	196,13
16	63,21	56,4	94,4
17	38,42	25,31	152,33
18	175,37	129,43	59,35
19	103,8	96,33	7,41
20	99,22	89,38	10,3
21	5,7	63,11	52,21
22	20,12	13,25	20,29
23	157,21	84,12	169,5
24	167,29	24,21	18,31
25	70,20	184,13	133,18
26	89,37	151,42	173,7
27	181,42	198,23	30,32
28	94,16	111,27	55,43
29	164,22	196,5	3,37
30	189,6	136,12	133,17
31	130,44	173,16	62,9
32	130,18	47,15	182,42
33	158,18	7,11	181,28
34	123,25	8,31	112,21
35	161,27	34,15	129,42
36	155,41	18,24	6,21
37	191,42	5,1	172,18
38	71,24	189,5	21,3
39	90,27	173,7	40,39
40	6,9	166,17	164,29
41	27,5	105,30	40,31
42	60,21	181,26	106,23
43	47,19	176,13	60,44
44	68,44	42,20	155,44
45	87,4	143,4	199,1
46	63,10	145,44	16,1
47	117,29	122,19	37,40
48	68,10	150,1	100,43
49	11,5	47,20	71,4
50	134,18	70,43	32,44
51	138,16	72,34	131,8
52	93,27	113,12	142,26
53	142,12	55,17	48,12
54	92,33	155,5	91,40
55	39,5	162,2	133,18
56	161,11	22,44	32,20
57	168,41	27,30	186,4
58	100,12	178,16	82,3
59	149,35	128,6	82,43
60	58,4	10,24	23,29
61	86,2	53,34	15,17
62	108,19	115,28	146,22
63	140,16	104,21	13,22
64	172,7	199,16	103,44
65	53,1	31,12	131,18
66	20,28	150,28	122,29
67	47,11	195,10	64,31
68	90,40	45,41	144,35
69	147,2	138,11	66,43
70	129,3	125,6	3,22
71	116,9	151,35	152,39
72	92,24	101,18	161,22
73	173,37	71,10	64,40
74	8,40	14,40	82,4
75	95,33	82,31	117,42
76	98,39	138,17	182,31
77	49,6	147,43	196,2
78	193,17	13,25	191,36
79	27,30	19,42	193,24
80	138,22	34,10	142,21
81	90,43	185,44	76,40
82	76,19	166,21	194,35
83	187,36	184,22	133,24
84	75,18	141,39	46,10
85	136,7	179,14	29,17
86	196,29	26,36	47,33
87	25,5	68,18	83,27
88	88,16	87,14	156,29
89	125,44	197,4	16,32
90	68,22	36,6	159,9
91	169,43	17,29	133,27
92	102,35	174,42	197,2
93	127,23	68,28	198,39
94	148,32	60,6	23,21
95	20,20	176,18	63,14
96	127,41	82,32	25,4
97	53,29	62,2	121,39
98	139,1	65,9	20,27
99	58,1	153,37	176,42
100	58,1	172,9	71,38
101	68,11	41,18	77,17
102	121,18	53,41	88,20
103	94,38	91,42	65,24
104	59,44	45,22	152,15
105	53,14	95,29	107,35
106	20,35	42,29	188,26
107	107,10	127,19	74,34
108	88,15	53,44	184,41
109	4,12	46,12	160,10
110	188,25	142,8	144,13
111	123,21	9,29	35,31
112	6,37	196,24	14,19
113	20,11	68,36	12,44
114	46,42	109,29	166,43
115	149,40	173,3	50,25
116	145,40	132,9	94,12
117	106,38	120,12	183,15
118	161,4	89,9	47,5
119	44,27	147,32	15,19
120	143,3	69,34	52,30
121	177,5	129,9	57,1
122	70,27	192,23	152,25
123	104,31	100,38	75,22
124	73,37	16,42	109,14
125	43,1	197,30	91,22
126	159,37	188,3	64,21
127	118,2	79,23	11,13
128	131,17	66,7	13,44
129	126,31	149,12	118,23
130	190,38	90,24	37,2
131	64,26	70,25	53,34
132	70,29	189,42	35,39
133	115,8	3,1	156,13
134	102,33	118,30	18,35
135	134,40	156,28	167,42
136	68,2	177,14	44,34
137	23,13	199,29	49,6
138	182,26	21,40	68,26
139	178,42	64,21	152,12
140	123,18	17,2	133,35
141	55,43	58,11	191,3
142	36,15	146,6	99,44
143	195,24	63,40	100,17
144	40,32	175,6	6,25
145	68,34	112,25	128,36
146	104,44	51,28	161,41
147	186,25	179,21	184,35
148	5,30	123,18	46,15
149	51,7	6,37	38,33
150	194,9	195,12	69,1
151	8,13	108,16	194,34
152	135,21	119,23	189,14
153	35,37	198,38	162,9
154	197,29	154,10	98,11
155	119,10	17,31	55,28
156	45,8	63,30	44,34
157	95,12	8,29	148,8
158	119,40	155,3	159,26
159	185,20	72,16	68,31
160	34,29	136,38	104,38
161	157,27	158,9	190,21
162	34,1	167,7	89,28
163	23,22	22,33	145,42
164	133,33	21,17	42,41
165	86,14	24,28	191,11
166	146,22	96,33	189,7
167	56,16	30,38	140,34
168	43,40	115,36	33,1
169	28,22	194,39	79,14
170	51,19	53,24	162,4
171	35,44	94,10	83,29
172	118,3	193,10	197,5
173	64,18	86,8	193,15
174	127,41	72,41	64,9
175	178,20	110,43	83,26
176	135,43	105,30	119,30
177	85,23	161,43	89,24
178	83,10	69,4	156,18
179	31,33	3,29	120,42
180	131,18	9,14	168,29
181	186,4	133,24	177,34
182	77,7	49,28	20,42
183	3,28	120,27	193,10
184	173,20	120,9	183,36
185	117,17	57,35	161,4
186	45,12	164,13	197,14
187	148,17	80,34	74,15
188	175,28	91,24	136,43
189	104,28	124,34	172,39
190	74,6	184,30	42,24
191	12,19	31,19	126,17
192	59,43	90,18	99,18
193	33,14	25,40	149,36
194	150,8	70,40	49,3
195	74,14	87,21	26,8
196	188,7	181,28	144,10
197	161,44	182,2	113,42
198	161,6	181,5	140,23
199	200,6	100,4	13,35
200	78,7	139,10	7,1
