1	44,2448	52,10495	84,7104	10,7189	77,5408	84,4887	44,9216	97,4468	142,11870	139,9980	21,3466	136,10794	151,3437	36,7746	140,8312	63,5862	136,6042	14,218	150,4406	34,12059	13,9796	3,8885	7,6997	196,11113	177,1138	31,1054	59,5107	80,9037	65,1034	44,10283	47,8621	65,11942
2	157,11528	19,4955	99,6932	141,5887	173,9117	4,3645	116,5920	130,7698	144,9551	53,10920	96,9235	71,272	92,8286	89,10298	55,9031	98,8980	66,5665	145,6071	55,8481	188,3637	100,5967	193,10018	125,7175	142,10282	106,2384	116,8068	186,10041	25,4978	66,2143	100,1818	70,2298	102,4180
3	88,610	186,6644	43,4170	46,5907	13,5975	3,4468	126,281	185,3076	143,5858	196,11443	17,1555	123,9212	94,3078	192,10047	56,2150	191,7975	33,10286	64,11271	21,8422	10,9284	17,255	19,8915	49,1195	78,9447	157,9851	151,8298	177,1193	173,10340	70,3282	134,10641	158,9586	71,11436
4	121,5694	92,5927	46,781	11,7945	132,5333	84,8214	184,6279	101,4280	75,721	27,11057	156,4621	141,7347	79,10286	15,11849	163,4689	176,5642	133,12214	189,4486	87,3350	158,7487	54,6414	155,5322	142,3612	29,9385	131,10419	70,6654	1,121	147,10637	107,488	53,11411	160,4351	139,6068
5	8,7288	58,11027	33,3469	31,1464	8,10214	78,7445	113,11707	129,983	62,4086	188,4009	183,2821	117,3353	185,5849	157,9574	94,741	7,4383	152,1806	58,10521	127,9679	51,3327	150,6874	159,348	51,831	24,10641	199,7722	111,1600	182,7844	7,1001	122,428	31,9884	174,11744	83,549
6	25,1416	13,10159	170,3108	123,1862	11,7449	49,11456	144,2952	173,8396	11,10412	165,743	39,9911	3,9111	102,5718	154,11521	185,11486	90,11160	42,9048	94,11498	14,1708	24,10706	182,2467	94,2659	106,9016	191,10567	168,3067	39,9967	162,3104	88,9406	158,6035	129,8729	116,10451	180,356
7	144,9029	105,9996	102,7577	27,8265	147,4999	109,4209	43,4451	169,7204	170,5451	19,2003	70,5318	136,6564	53,9864	180,2106	2,824	59,3819	189,7533	113,5553	144,2747	113,3878	169,2400	40,2689	191,3372	20,7743	124,10650	44,5322	174,4066	98,4390	69,6300	130,1203	154,6048	73,6546
8	154,4671	198,115	31,511	48,12301	122,1228	17,10878	96,4848	188,3046	140,8061	199,6247	185,2915	178,7712	161,3723	154,1067	150,10374	198,4591	139,61	147,3932	1,692	189,7052	114,10879	168,7721	143,1715	52,8912	140,9468	5,903	159,6739	152,419	147,8902	81,2643	160,2128	94,2151
9	109,10671	32,5504	27,1687	159,3123	173,5794	198,2473	58,10291	97,6495	139,7805	176,4359	181,10058	28,122	28,7373	23,1702	157,12271	128,616	4,9416	80,6779	56,8548	110,3255	15,10908	75,6986	175,7551	69,10860	189,2948	50,6831	12,10515	39,6111	85,5251	43,2713	2,7973	120,10403
10	22,10055	100,9648	3,2027	32,9624	193,7639	7,6447	113,2605	77,7258	184,3340	151,7405	39,9353	84,6599	22,6608	87,11111	73,9513	150,3560	62,4080	175,694	99,5136	111,11319	65,8859	192,6971	156,3700	195,5009	111,10525	6,9548	158,9357	108,779	142,9343	128,8257	151,3575	52,6396
11	9,11209	139,5956	109,11808	138,9869	196,7980	85,7810	102,12209	116,11154	64,11671	37,2602	37,11587	38,2242	156,656	37,4443	84,1223	60,8192	29,5963	117,1042	94,142	65,2964	45,6222	145,2394	106,8863	150,1930	175,471	73,6170	132,10347	169,3851	37,9849	172,3667	91,5535	165,9816
12	82,8330	185,4375	134,6693	80,3949	200,11921	21,11832	61,4161	181,9400	162,3119	86,9732	137,11209	161,6062	166,5101	72,2334	185,1212	167,7817	29,961	124,632	108,11702	38,5216	36,575	117,6051	19,2006	85,9085	73,1074	56,10666	142,5350	103,5507	199,594	189,11822	115,4093	17,9176
13	38,11165	186,3058	188,10815	75,210	87,4207	27,2242	163,1034	184,1004	67,313	112,6024	38,8823	190,10719	122,5166	52,9227	131,4371	46,10951	55,7887	119,12125	102,8126	154,6832	158,10735	135,9245	171,3890	58,4761	32,5151	91,9826	176,2011	147,8658	174,11775	85,9367	161,8356	17,47
14	138,12186	150,9987	23,1129	34,8656	99,12042	150,5809	135,9585	127,9623	11,372	91,11287	188,9503	142,7303	195,4849	47,5443	132,1969	93,10124	10,10563	8,7516	2,9728	75,8431	124,10389	78,11861	156,7296	3,2168	148,58	143,5375	28,10042	95,5308	13,5294	173,11885	200,7017	97,1937
