1	189,252	84,17	66,19	28,261
2	123,159	28,88	6,245	156,134
3	57,100	89,56	36,240	99,74
4	34,213	51,181	36,201	159,132
5	177,70	9,48	107,204	36,36
6	24,257	141,14	69,21	68,37
7	135,159	103,55	195,160	45,255
8	141,14	130,47	132,110	32,97
9	159,205	48,43	184,189	31,49
10	12,27	154,155	144,118	85,215
11	95,186	171,10	149,110	133,184
12	164,253	44,7	4,208	12,102
13	55,117	117,146	105,159	23,58
14	137,139	135,34	180,20	191,269
15	132,24	39,251	26,77	162,148
16	155,51	3,100	112,192	37,284
17	132,38	138,171	72,163	101,84
18	85,101	98,166	159,74	26,87
19	187,259	129,12	149,37	139,186
20	134,170	186,125	85,82	136,14
21	153,28	37,11	117,252	93,3
22	96,107	4,126	119,183	160,170
23	171,225	188,200	34,97	16,97
24	12,126	32,150	34,122	94,46
25	25,253	35,65	107,281	91,222
26	162,101	199,271	170,286	10,247
27	37,35	111,160	136,229	183,52
28	198,236	11,13	40,224	138,181
29	133,135	55,91	140,67	81,123
30	46,94	75,227	110,87	195,148
31	84,157	82,50	142,245	134,227
32	45,5	198,141	19,64	9,28
33	2,141	127,55	71,11	151,174
34	178,260	46,259	45,186	121,32
35	124,242	126,183	200,150	71,75
36	148,31	38,103	140,134	177,184
37	66,168	178,181	42,209	96,199
38	13,93	190,13	180,157	12,233
39	193,188	169,139	105,42	148,181
40	156,200	145,248	171,55	117,165
41	180,170	200,217	111,1	163,109
42	12,49	136,246	109,240	185,131
43	61,124	142,263	51,221	103,97
44	137,58	4,25	125,284	175,239
45	53,183	126,142	28,91	102,145
46	49,157	160,194	4,283	72,153
47	80,241	171,46	136,187	54,72
48	70,193	4,49	191,263	173,16
49	8,139	175,151	69,43	10,233
50	196,101	151,88	54,36	68,20
51	87,27	194,187	87,284	71,241
52	72,160	19,248	32,150	174,133
53	115,267	194,186	196,220	164,217
54	34,227	178,53	76,189	173,246
55	106,194	35,242	56,60	61,73
56	104,121	133,113	52,56	68,88
57	115,252	151,185	89,199	28,39
58	132,74	71,205	153,240	41,69
59	169,151	60,18	108,61	128,133
60	128,229	172,123	30,285	120,145
61	26,148	54,154	16,257	19,119
62	69,258	180,54	190,280	7,182
63	62,163	11,103	108,225	5,129
64	96,198	77,86	191,246	129,186
65	83,217	12,86	188,239	121,226
66	74,105	96,79	7,282	8,10
67	146,150	43,213	92,235	166,148
68	98,234	9,173	162,202	150,139
69	187,266	42,13	50,253	86,149
70	82,187	60,232	89,63	50,169
71	60,29	126,202	81,130	119,199
72	69,29	118,131	90,145	133,53
73	48,105	52,32	59,141	121,193
74	164,208	154,86	64,244	86,242
75	3,211	89,224	37,149	114,229
76	115,110	89,211	159,219	132,200
77	61,87	7,3	128,120	187,39
78	188,284	52,286	176,141	130,222
79	176,239	111,286	1,50	29,32
80	169,85	157,250	114,98	17,73
81	108,61	185,232	42,42	99,37
82	97,7	181,175	175,152	26,281
83	15,102	108,264	168,95	84,101
84	81,204	99,64	86,134	21,250
85	47,92	155,248	36,173	123,96
86	9,12	176,261	32,166	134,79
87	190,145	156,25	130,273	159,83
88	39,143	173,87	32,243	76,219
89	122,67	169,219	102,25	198,90
90	196,85	127,18	4,71	64,118
91	99,162	187,275	62,260	85,79
92	35,113	77,73	129,186	112,85
93	103,132	176,215	185,114	149,5
94	31,104	43,73	60,33	187,234
95	20,148	125,231	126,217	173,30
96	86,226	131,175	150,243	80,16
97	73,86	89,10	65,272	198,270
98	182,49	13,187	14,181	143,118
99	3,3	115,153	28,235	53,173
100	60,270	137,151	94,53	168,41
101	167,31	7,94	132,209	161,102
102	75,45	147,100	186,63	52,32
103	126,183	39,128	162,56	85,127
104	83,74	38,127	167,230	196,204
105	61,165	145,184	42,263	180,156
106	16,128	93,53	83,36	93,53
107	27,213	40,115	4,5	129,286
108	58,31	147,226	1,189	194,154
109	13,260	48,191	94,226	137,79
110	21,70	83,249	92,51	161,185
111	160,71	8,72	196,255	172,51
112	95,55	43,169	53,170	199,176
113	114,196	148,46	105,138	97,139
114	143,52	166,226	196,283	119,62
115	29,88	75,176	41,32	150,84
116	86,215	56,78	117,267	47,69
117	42,117	119,156	123,136	164,277
118	183,273	115,17	100,50	50,110
119	121,48	161,220	167,90	81,178
120	81,253	167,94	19,211	117,205
121	158,7	73,11	56,135	20,94
122	191,63	120,254	63,149	80,152
123	145,116	185,205	164,45	122,61
124	124,156	10,23	113,282	186,68
125	194,268	182,33	78,226	153,86
126	31,66	172,91	141,194	90,6
127	70,178	153,208	125,136	22,82
128	122,85	37,197	93,154	32,92
129	45,113	35,182	40,141	1,272
130	58,214	169,66	74,204	62,215
131	7,54	39,104	165,158	37,269
132	117,215	92,170	78,9	96,208
133	112,250	188,247	127,75	90,170
134	116,160	181,92	7,35	143,214
135	74,40	172,227	108,8	46,153
136	17,85	78,126	76,199	199,178
137	155,257	4,34	94,240	23,205
138	116,200	179,147	34,265	104,42
139	112,108	185,105	164,274	139,34
140	134,127	48,13	78,44	35,55
141	123,222	6,170	162,135	163,260
142	114,38	7,233	90,266	42,95
143	192,160	30,146	24,5	145,47
144	48,70	70,69	54,179	138,267
145	81,71	125,227	178,161	76,136
146	84,13	65,84	124,43	20,93
147	2,220	162,264	176,108	96,205
148	19,76	29,113	143,59	147,213
149	32,210	23,115	70,31	61,156
150	13,70	148,199	40,91	93,215
151	8,172	53,152	191,231	69,155
152	178,215	28,208	109,155	195,239
153	99,105	81,111	53,64	51,277
154	172,110	96,70	48,96	113,159
155	139,129	12,108	6,224	27,203
156	10,10	49,35	80,180	89,228
157	93,14	87,186	58,164	180,254
158	1,123	79,142	190,38	92,55
159	183,142	191,15	167,199	72,172
160	73,53	177,204	65,200	109,128
161	20,71	198,258	85,5	196,194
162	37,278	6,201	188,226	97,70
163	140,195	196,236	175,76	100,48
164	117,160	2,221	165,251	19,183
165	2,26	197,284	14,8	136,192
166	10,10	28,256	173,21	80,133
167	124,84	23,254	94,71	86,218
168	93,272	30,41	127,97	92,9
169	178,91	114,228	95,17	153,219
170	66,123	148,165	67,55	139,207
171	169,246	80,277	153,127	134,40
172	76,205	137,279	145,46	167,151
173	108,9	99,46	53,25	56,236
174	83,235	197,233	37,174	128,89
175	152,121	160,139	26,132	54,224
176	23,262	148,262	140,141	116,200
177	14,201	2,159	98,247	30,285
178	4,196	141,215	154,149	68,146
179	179,283	150,22	132,237	197,51
180	81,140	44,234	133,256	101,119
181	185,246	4,12	190,202	142,198
182	121,276	137,58	62,239	97,201
183	110,7	183,65	58,170	142,48
184	181,73	188,191	60,206	14,224
185	189,41	38,22	100,202	116,39
186	67,282	63,134	175,192	162,229
187	166,259	15,155	104,160	93,149
188	141,151	84,128	137,45	8,48
189	132,249	24,91	26,198	62,99
190	84,161	93,210	98,234	38,200
