1	176,1079	142,663	140,746	169,681	199,1010	19,552	184,786	138,1484	185,835	35,1053	118,1792	99,934
2	161,217	137,763	68,1804	39,1346	181,1308	148,1705	163,1079	132,439	53,193	196,53	137,597	37,823
3	69,299	149,399	16,97	151,502	130,817	31,859	85,693	189,718	138,121	151,604	76,1119	38,1701
4	85,1300	2,739	182,1479	27,408	32,247	13,912	40,352	27,834	1,8	114,937	108,310	177,1285
5	67,609	21,311	71,1320	31,1464	105,1464	194,811	156,1400	13,1097	15,979	180,903	98,643	39,793
6	146,613	6,264	5,721	163,1115	28,1683	171,433	43,901	80,1516	193,503	36,1840	80,989	33,1438
7	103,1583	69,923	92,312	17,155	33,650	179,224	52,1698	23,1595	181,320	6,1556	173,942	165,576
8	89,1840	164,1446	157,1111	180,887	77,842	52,1323	129,214	13,124	145,1057	92,1388	29,1286	182,406
9	166,376	57,840	87,1090	96,1526	118,1015	177,32	77,969	156,276	123,1717	86,16	107,1150	154,1269
10	51,668	72,568	127,636	6,133	34,655	190,1175	132,283	3,1025	54,109	168,352	187,206	86,995
11	186,1103	46,1726	102,1168	39,1724	42,111	148,1815	109,106	54,1159	163,1513	67,149	110,1662	115,288
12	175,1176	185,1441	1,1019	16,1401	80,1237	103,601	52,1699	96,764	74,1451	168,1332	27,1706	174,1168
13	11,438	59,1155	57,1729	68,1152	78,731	33,1474	54,1283	124,380	138,1476	148,1435	110,919	185,156
14	36,1550	28,1558	114,1738	122,927	172,1658	141,198	194,1339	57,506	176,1430	98,945	137,926	110,1808
15	21,693	151,62	107,139	195,448	165,284	27,1232	10,1482	103,837	2,1531	177,1555	108,1729	152,166
16	46,1327	112,732	71,1151	180,213	183,1307	80,444	192,1412	92,1531	156,1403	109,136	80,323	175,1526
17	163,536	88,451	153,666	73,1107	31,1400	91,720	185,1748	74,1826	109,576	104,93	110,1468	13,1376
18	86,1301	101,1505	64,71	28,81	115,392	114,1569	22,191	105,256	55,1068	73,839	194,1444	70,1207
19	136,48	159,331	195,435	131,626	20,392	91,1191	197,50	190,1374	2,648	84,995	198,171	126,1788
20	100,1777	105,454	167,549	37,261	82,257	10,1457	115,271	86,910	53,1769	156,1858	66,211	6,1654
21	17,601	100,1832	182,977	14,1092	49,1653	170,297	179,1434	114,1189	122,1161	32,157	140,1496	88,1365
22	31,123	120,366	70,402	158,1561	145,364	73,634	138,988	177,1095	188,414	106,1282	137,35	16,87
23	25,333	46,512	166,620	132,994	179,623	97,988	44,507	45,88	170,1760	63,601	109,203	12,288
24	3,932	34,1594	148,395	118,1841	72,719	131,558	186,1287	192,105	95,484	14,1251	195,1085	19,75
25	119,425	39,1604	3,774	189,347	190,1866	4,1030	188,1381	138,312	67,844	107,1033	195,461	91,895
26	188,57	28,1078	21,1421	139,200	85,1606	113,1375	187,315	19,1585	191,1820	35,1515	77,930	48,611
