1	18,114	164,257	146,220	59,67	33,50	153,119	101,68	57,98
2	156,167	160,74	124,266	23,272	136,190	181,62	73,125	195,55
3	108,285	68,143	15,207	13,40	89,135	176,45	20,152	12,1
4	98,157	144,69	26,115	126,2	122,106	96,191	100,92	42,224
5	12,216	29,18	167,42	164,173	113,78	16,107	9,261	93,188
6	143,144	179,221	92,75	58,275	136,256	169,81	111,259	81,3
7	92,62	139,260	50,217	36,165	37,131	149,257	45,249	130,141
8	186,222	189,12	137,209	162,166	32,64	4,6	117,215	199,74
9	185,254	86,147	196,129	7,52	132,174	50,209	37,204	13,241
10	83,279	9,79	184,102	187,268	109,114	93,5	172,121	149,190
11	147,33	41,176	41,179	67,9	46,42	12,110	47,144	99,279
12	192,52	77,89	71,264	174,89	82,157	81,98	76,213	18,135
13	10,43	57,206	107,258	140,192	39,37	103,21	22,114	56,221
14	67,253	143,218	38,104	124,168	2,108	155,279	142,127	92,79
15	101,80	116,52	54,138	123,49	108,119	2,30	171,191	199,182
16	70,190	36,78	91,139	145,171	2,247	140,149	169,205	103,49
17	54,215	154,160	43,66	174,138	153,186	139,172	4,115	153,31
18	46,111	167,9	131,146	40,229	78,139	35,31	85,246	31,274
19	39,94	195,182	145,157	37,265	130,85	67,134	198,270	56,279
20	28,84	128,29	123,245	93,85	100,278	108,115	107,158	170,109
21	98,43	37,174	182,275	17,283	140,82	160,135	106,275	102,281
22	8,263	175,194	71,201	165,243	143,163	169,260	93,172	47,254
23	71,125	54,238	6,167	142,199	37,7	51,35	79,69	58,283
24	154,218	28,140	16,16	40,3	43,272	22,148	36,51	59,284
25	155,116	181,236	126,224	115,148	48,213	171,258	120,196	184,264
26	185,56	118,240	92,56	67,247	120,281	78,250	18,143	95,97
27	26,117	57,57	181,34	5,55	157,187	105,35	98,170	157,190
28	164,107	69,178	105,116	79,169	70,90	118,23	135,155	63,248
29	176,76	23,245	172,191	118,93	7,285	42,25	115,36	58,27
30	134,266	41,17	77,73	145,142	126,170	32,174	96,35	44,181
31	172,37	94,9	100,215	34,50	119,247	141,29	177,175	89,159
32	117,5	174,27	153,280	158,9	54,257	168,280	34,10	63,203
